3623
1 2 3
1 2 4
1 2 5
1 2 6
1 2 7
1 2 8
1 2 9
1 2 10
1 2 11
1 2 12
1 2 13
1 2 14
1 2 15
1 2 16
1 2 17
1 2 18
1 2 19
1 2 20
1 2 21
1 2 22
1 2 23
1 2 24
1 2 25
1 2 26
1 2 27
1 2 28
1 2 29
1 2 30
1 2 31
1 2 32
1 2 33
1 2 34
1 2 35
1 2 36
1 5 3
1 6 4
1 7 5
1 8 3
1 8 6
1 9 7
1 10 4
1 10 8
1 11 3
1 11 9
1 12 5
1 12 10
1 13 11
1 14 3
1 14 4
1 14 6
1 14 12
1 15 13
1 16 7
1 16 14
1 17 3
1 17 5
1 17 15
1 18 4
1 18 8
1 18 16
1 19 17
1 20 3
1 20 6
1 20 9
1 20 18
1 21 19
1 22 4
1 22 5
1 22 10
1 22 20
1 23 3
1 23 7
1 23 21
1 24 11
1 24 22
1 25 23
1 26 3
1 26 4
1 26 6
1 26 8
1 26 12
1 26 24
1 27 5
1 27 25
1 28 13
1 28 26
1 29 3
1 29 9
1 29 27
1 30 4
1 30 7
1 30 14
1 30 28
1 31 29
1 32 3
1 32 5
1 32 6
1 32 10
1 32 15
1 32 30
1 33 31
1 34 4
1 34 8
1 34 16
1 34 32
1 35 3
1 35 11
1 35 33
1 36 17
1 36 34
2 1 3
2 1 4
2 1 5
2 1 6
2 1 7
2 1 8
2 1 9
2 1 10
2 1 11
2 1 12
2 1 13
2 1 14
2 1 15
2 1 16
2 1 17
2 1 18
2 1 19
2 1 20
2 1 21
2 1 22
2 1 23
2 1 24
2 1 25
2 1 26
2 1 27
2 1 28
2 1 29
2 1 30
2 1 31
2 1 32
2 1 33
2 1 34
2 1 35
2 1 36
2 4 3
2 5 4
2 6 5
2 7 3
2 7 6
2 8 7
2 9 4
2 9 8
2 10 3
2 10 9
2 11 5
2 11 10
2 12 11
2 13 3
2 13 4
2 13 6
2 13 12
2 14 13
2 15 7
2 15 14
2 16 3
2 16 5
2 16 15
2 17 4
2 17 8
2 17 16
2 18 17
2 19 3
2 19 6
2 19 9
2 19 18
2 20 19
2 21 4
2 21 5
2 21 10
2 21 20
2 22 3
2 22 7
2 22 21
2 23 11
2 23 22
2 24 23
2 25 3
2 25 4
2 25 6
2 25 8
2 25 12
2 25 24
2 26 5
2 26 25
2 27 13
2 27 26
2 28 3
2 28 9
2 28 27
2 29 4
2 29 7
2 29 14
2 29 28
2 30 29
2 31 3
2 31 5
2 31 6
2 31 10
2 31 15
2 31 30
2 32 31
2 33 4
2 33 8
2 33 16
2 33 32
2 34 3
2 34 11
2 34 33
2 35 17
2 35 34
2 36 5
2 36 7
2 36 35
3 1 3
3 1 4
3 1 5
3 1 6
3 1 7
3 1 8
3 1 9
3 1 10
3 1 11
3 1 12
3 1 13
3 1 14
3 1 15
3 1 16
3 1 17
3 1 18
3 1 19
3 1 20
3 1 21
3 1 22
3 1 23
3 1 24
3 1 25
3 1 26
3 1 27
3 1 28
3 1 29
3 1 30
3 1 31
3 1 32
3 1 33
3 1 34
3 1 35
3 1 36
3 4 3
3 5 4
3 6 5
3 7 3
3 7 6
3 8 7
3 9 4
3 9 8
3 10 3
3 10 9
3 11 5
3 11 10
3 12 11
3 13 3
3 13 4
3 13 6
3 13 12
3 14 13
3 15 7
3 15 14
3 16 3
3 16 5
3 16 15
3 17 4
3 17 8
3 17 16
3 18 17
3 19 3
3 19 6
3 19 9
3 19 18
3 20 19
3 21 4
3 21 5
3 21 10
3 21 20
3 22 3
3 22 7
3 22 21
3 23 11
3 23 22
3 24 23
3 25 3
3 25 4
3 25 6
3 25 8
3 25 12
3 25 24
3 26 5
3 26 25
3 27 13
3 27 26
3 28 3
3 28 9
3 28 27
3 29 4
3 29 7
3 29 14
3 29 28
3 30 29
3 31 3
3 31 5
3 31 6
3 31 10
3 31 15
3 31 30
3 32 31
3 33 4
3 33 8
3 33 16
3 33 32
3 34 3
3 34 11
3 34 33
3 35 17
3 35 34
3 36 5
3 36 7
3 36 35
4 1 3
4 1 4
4 1 5
4 1 6
4 1 7
4 1 8
4 1 9
4 1 10
4 1 11
4 1 12
4 1 13
4 1 14
4 1 15
4 1 16
4 1 17
4 1 18
4 1 19
4 1 20
4 1 21
4 1 22
4 1 23
